"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Git","Commit...","Ctrl+K","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Window","Update Project","Alt+F5","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Source","Generate Constructor using Fields","Alt+Insert, C","Editing Java Source"
"Navigate","Backward History","Alt+Left","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Window","Reset Perspective","Shift+F12","In Windows"
"Run/Debug","Run","Shift+F10","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Generate Getters and Setters","Alt+Insert, S","Editing Java Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Search","References in Workspace","Alt+F7","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Text Editing","Duplicate Lines","Ctrl+D","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Search","Open Search Dialog","Ctrl+Shift+F","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Uncategorized","Fonts Increase","Ctrl+=","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+Alt+B","Editing Java Source"
